Assessment Name,URL,Description,Job Levels,Supported Languages,Assessment Length,Job Title,Test Type Categories,Remote Testing Support,Adaptive/IRT Support,,combined_text
Account Manager Solution,https://www.shl.com/products/product-catalog/view/account-manager-solution/,"Account Manager Solution Description The Account Manager solution is an assessment used for job candidates applying to mid-level leadership positions that tend to manage the day-to-day operations and activities of client accounts. Sample tasks for these jobs include, but are not limited to: communicating with clients about project status, developing and maintaining project plans, coordinating internally with appropriate project personnel, and ensuring client expectations are being met. There are multiple configurations of this solution available.",Mid-Professional,English (USA),49.0,"Account Executive, Account Manager, and Senior Account Manager","['Competencies', 'Personality & Behavior', 'Ability & Aptitude', 'Biodata and Situational Judgement']",Yes,Yes,,"Account Manager Solution Account Manager Solution Description The Account Manager solution is an assessment used for job candidates applying to mid-level leadership positions that tend to manage the day-to-day operations and activities of client accounts. Sample tasks for these jobs include, but are not limited to: communicating with clients about project status, developing and maintaining project plans, coordinating internally with appropriate project personnel, and ensuring client expectations are being met. There are multiple configurations of this solution available. Account Executive, Account Manager, and Senior Account Manager ['Competencies', 'Personality & Behavior', 'Ability & Aptitude', 'Biodata and Situational Judgement']"
Administrative Professional - Short Form,https://www.shl.com/products/product-catalog/view/administrative-professional-short-form/,"Administrative Professional - Short Form Description The Administrative Professional solution is designed for administrative and support roles across a wide variety of industries. Sample tasks for these jobs include scheduling appointments, preparing invoices, sending emails, and managing files. Potential job titles that use this solution are Administrative Assistant and Administrative Professional. Multiple configurations of this solution are available including a short version.","Entry-Level, Professional Individual Contributor",English (USA),27.0,Administrative Assistant and Administrative Professional,"['Ability & Aptitude', 'Knowledge & Skills', 'Personality & Behavior']",Yes,No,,"Administrative Professional - Short Form Administrative Professional - Short Form Description The Administrative Professional solution is designed for administrative and support roles across a wide variety of industries. Sample tasks for these jobs include scheduling appointments, preparing invoices, sending emails, and managing files. Potential job titles that use this solution are Administrative Assistant and Administrative Professional. Multiple configurations of this solution are available including a short version. Administrative Assistant and Administrative Professional ['Ability & Aptitude', 'Knowledge & Skills', 'Personality & Behavior']"
Agency Manager Solution,https://www.shl.com/products/product-catalog/view/agency-manager-solution/,"Agency Manager Solution Description The Agency Manager solution is an assessment used for job candidates applying to mid- to upper-level leadership positions in the insurance industry that are responsible for developing and maintaining business relationships and sales strategies. Sample tasks for these jobs include, but are not limited to: managing and developing insurance agents, establishing sales goals, analyzing sales data, and promoting insurance agency services. Potential job titles that use this solution are Insurance Sales Manager and Agency Manager. There are multiple configurations of this solution available.",Manager,English (USA),61.0,Insurance Sales Manager and Agency Manager,"['Ability & Aptitude', 'Biodata and Situational Judgement', 'Personality & Behavior', 'Simulations']",Yes,No,,"Agency Manager Solution Agency Manager Solution Description The Agency Manager solution is an assessment used for job candidates applying to mid- to upper-level leadership positions in the insurance industry that are responsible for developing and maintaining business relationships and sales strategies. Sample tasks for these jobs include, but are not limited to: managing and developing insurance agents, establishing sales goals, analyzing sales data, and promoting insurance agency services. Potential job titles that use this solution are Insurance Sales Manager and Agency Manager. There are multiple configurations of this solution available. Insurance Sales Manager and Agency Manager ['Ability & Aptitude', 'Biodata and Situational Judgement', 'Personality & Behavior', 'Simulations']"
Apprentice + 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment-2/,"Apprentice + 8.0 Job Focused Assessment Description The Apprentice + Job-Focused Assessment is a solution used for evaluating entry-level candidates in various fields. It measures a combination of foundational skills and competencies relevant for apprenticeship roles, ensuring candidates have the potential to succeed in job-specific training programs.",Entry-Level,,39.0,,"['Biodata and Situational Judgement', 'Personality & Behavior']",Yes,No,,"Apprentice + 8.0 Job Focused Assessment Apprentice + 8.0 Job Focused Assessment Description The Apprentice + Job-Focused Assessment is a solution used for evaluating entry-level candidates in various fields. It measures a combination of foundational skills and competencies relevant for apprenticeship roles, ensuring candidates have the potential to succeed in job-specific training programs.  ['Biodata and Situational Judgement', 'Personality & Behavior']"
Apprentice 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,"Apprentice 8.0 Job Focused Assessment Description The Apprentice Job-Focused Assessment is designed for assessing candidates for entry-level apprentice roles. It evaluates fundamental skills and traits necessary for success in apprentice positions, including basic cognitive abilities, learning agility, and work ethic, tailored to the demands of various apprenticeship programs.",Entry-Level,,39.0,,"['Biodata and Situational Judgement', 'Personality & Behavior']",Yes,No,,"Apprentice 8.0 Job Focused Assessment Apprentice 8.0 Job Focused Assessment Description The Apprentice Job-Focused Assessment is designed for assessing candidates for entry-level apprentice roles. It evaluates fundamental skills and traits necessary for success in apprentice positions, including basic cognitive abilities, learning agility, and work ethic, tailored to the demands of various apprenticeship programs.  ['Biodata and Situational Judgement', 'Personality & Behavior']"
Bank Administrative Assistant - Short Form,https://www.shl.com/products/product-catalog/view/bank-administrative-assistant-short-form/,"Bank Administrative Assistant - Short Form Description This assessment evaluates candidates for administrative assistant roles in banking. It measures their ability to handle clerical tasks, manage financial documents, and provide support in a bank setting. Key skills assessed include attention to detail, basic finance knowledge, and organizational skills. This is the short form of the assessment, allowing for quicker evaluation while still maintaining predictive validity.","Entry-Level, Professional Individual Contributor",,30.0,,"['Ability & Aptitude', 'Biodata and Situational Judgement', 'Knowledge & Skills', 'Personality & Behavior']",Yes,No,,"Bank Administrative Assistant - Short Form Bank Administrative Assistant - Short Form Description This assessment evaluates candidates for administrative assistant roles in banking. It measures their ability to handle clerical tasks, manage financial documents, and provide support in a bank setting. Key skills assessed include attention to detail, basic finance knowledge, and organizational skills. This is the short form of the assessment, allowing for quicker evaluation while still maintaining predictive validity.  ['Ability & Aptitude', 'Biodata and Situational Judgement', 'Knowledge & Skills', 'Personality & Behavior']"
Bank Collections Agent - Short Form,https://www.shl.com/products/product-catalog/view/bank-collections-agent-short-form/,"Bank Collections Agent - Short Form Description The Bank Collections Agent solution is an assessment for entry-level bank collection roles. It evaluates a candidate’s ability to handle late payments, communicate with customers about their debts, and navigate financial systems to arrange payment solutions. The short form provides a concise measurement focusing on key attributes such as negotiation skills, resilience, and customer service orientation within a collections context.",Entry-Level,,36.0,,"['Ability & Aptitude', 'Biodata and Situational Judgement', 'Personality & Behavior']",Yes,No,,"Bank Collections Agent - Short Form Bank Collections Agent - Short Form Description The Bank Collections Agent solution is an assessment for entry-level bank collection roles. It evaluates a candidate’s ability to handle late payments, communicate with customers about their debts, and navigate financial systems to arrange payment solutions. The short form provides a concise measurement focusing on key attributes such as negotiation skills, resilience, and customer service orientation within a collections context.  ['Ability & Aptitude', 'Biodata and Situational Judgement', 'Personality & Behavior']"
Bank Operations Supervisor - Short Form,https://www.shl.com/products/product-catalog/view/bank-operations-supervisor-short-form/,"Bank Operations Supervisor - Short Form Description The Bank Operations Supervisor solution is designed for front-line manager roles in banking operations. This assessment measures abilities and personality traits important for overseeing bank tellers and administrative staff, ensuring compliance and efficient transaction processing. The short form targets critical competencies such as leadership, detail orientation, and decision-making skills in a banking environment.","Supervisor, Front Line Manager",,33.0,,"['Ability & Aptitude', 'Biodata and Situational Judgement', 'Personality & Behavior', 'Simulations']",Yes,No,,"Bank Operations Supervisor - Short Form Bank Operations Supervisor - Short Form Description The Bank Operations Supervisor solution is designed for front-line manager roles in banking operations. This assessment measures abilities and personality traits important for overseeing bank tellers and administrative staff, ensuring compliance and efficient transaction processing. The short form targets critical competencies such as leadership, detail orientation, and decision-making skills in a banking environment.  ['Ability & Aptitude', 'Biodata and Situational Judgement', 'Personality & Behavior', 'Simulations']"
Bilingual Spanish Reservation Agent Solution,https://www.shl.com/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,"Bilingual Spanish Reservation Agent Solution Description This solution assesses candidates for reservation agent roles that require bilingual (Spanish-English) capabilities. It evaluates candidates on communication skills in both languages, customer service aptitude, and the ability to handle reservation systems and inquiries. The assessment ensures that candidates can effectively assist Spanish-speaking customers and switch between languages fluidly while maintaining high service standards.","Entry-Level, Professional Individual Contributor",,42.0,,"['Biodata and Situational Judgement', 'Personality & Behavior', 'Simulations', 'Ability & Aptitude']",Yes,No,,"Bilingual Spanish Reservation Agent Solution Bilingual Spanish Reservation Agent Solution Description This solution assesses candidates for reservation agent roles that require bilingual (Spanish-English) capabilities. It evaluates candidates on communication skills in both languages, customer service aptitude, and the ability to handle reservation systems and inquiries. The assessment ensures that candidates can effectively assist Spanish-speaking customers and switch between languages fluidly while maintaining high service standards.  ['Biodata and Situational Judgement', 'Personality & Behavior', 'Simulations', 'Ability & Aptitude']"
"Bookkeeping, Accounting, Auditing Clerk Short Form",https://www.shl.com/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,"Bookkeeping, Accounting, Auditing Clerk Short Form Description The Bookkeeping, Accounting, Auditing Clerk solution is intended for entry-level individuals responsible for maintaining financial records, handling transactions, and preparing reports. The short form assessment focuses on assessing basic numeracy, attention to detail, knowledge of accounting principles, and integrity. It helps identify candidates who can accurately handle financial data and transactions in a timely manner.","Entry-Level, Professional Individual Contributor",,29.0,,"['Personality & Behavior', 'Simulations', 'Knowledge & Skills', 'Biodata and Situational Judgement', 'Ability & Aptitude']",Yes,No,,"Bookkeeping, Accounting, Auditing Clerk Short Form Bookkeeping, Accounting, Auditing Clerk Short Form Description The Bookkeeping, Accounting, Auditing Clerk solution is intended for entry-level individuals responsible for maintaining financial records, handling transactions, and preparing reports. The short form assessment focuses on assessing basic numeracy, attention to detail, knowledge of accounting principles, and integrity. It helps identify candidates who can accurately handle financial data and transactions in a timely manner.  ['Personality & Behavior', 'Simulations', 'Knowledge & Skills', 'Biodata and Situational Judgement', 'Ability & Aptitude']"
